Time,V1,V2,V3
16.2,0.4591,2.6623,22.7576
16.22,0.8599,2.6872,21.6104
16.24,1.1985,2.7765,20.543
16.26,1.4983,2.935,19.5512
16.28,1.7793,3.1668,18.6333
16.3,2.0586,3.4767,17.7897
16.32,2.3512,3.8708,17.0234
16.34,2.6708,4.3572,16.3403
16.36,3.03,4.9458,15.7497
16.38,3.4412,5.6482,15.2652
16.4,3.9169,6.477,14.9065
16.42,4.4694,7.4443,14.7004
16.44,5.1108,8.5591,14.6831
16.46,5.852,9.8232,14.9016
16.48,6.7013,11.2254,15.4145
16.5,7.6613,12.7318,16.2905
16.52,8.7251,14.2753,17.6022
16.54,9.871,15.7438,19.4122
16.56,11.0558,16.9731,21.7482
16.58,12.2101,17.7548,24.5694
16.6,13.2374,17.8681,27.7303
16.62,14.0223,17.1421,30.9647
16.64,14.45,15.5334,33.9144
16.66,14.4352,13.1798,36.2138
16.68,13.9498,10.3859,37.6029
16.7,13.0347,7.5338,38.0074
16.72,11.7904,4.9619,37.54
16.74,10.3495,2.8811,36.4291
16.76,8.8447,1.3577,34.9269
16.78,7.386,0.3493,33.243
16.8,6.0496,-0.2425,31.5205
16.82,4.8784,-0.5292,29.8407
16.84,3.8881,-0.6105,28.2415
16.86,3.0755,-0.5645,26.7345
16.88,2.4259,-0.4474,25.3187
16.9,1.9189,-0.2961,23.988
16.92,1.5326,-0.1331,22.7349
16.94,1.2459,0.0293,21.5527
16.96,1.0402,0.1862,20.4357
16.98,0.8996,0.337,19.3792
17,0.8114,0.4841,18.3795
17.02,0.7658,0.6315,17.4335
17.04,0.7557,0.7844,16.5385
17.06,0.776,0.9486,15.6925
17.08,0.8241,1.1307,14.8936
17.1,0.8986,1.3379,14.1408
17.12,1.0002,1.5782,13.4333
17.14,1.1307,1.8609,12.7712
17.16,1.2936,2.1964,12.1557
17.18,1.4937,2.5973,11.5894
17.2,1.7375,3.0783,11.0766
17.22,2.0331,3.6566,10.6248
17.24,2.3906,4.3523,10.2453
17.26,2.8222,5.1884,9.955
17.28,3.3423,6.1906,9.7791
17.3,3.9674,7.3856,9.7539
17.32,4.7159,8.7983,9.931
17.34,5.6066,10.4457,10.3819
17.36,6.6565,12.3267,11.2023
17.38,7.8765,14.405,12.5133
17.4,9.2637,16.585,14.4537
17.42,10.7904,18.682,17.1561
17.44,12.3903,20.4001,20.6949
17.46,13.9455,21.342,25.0044
17.48,15.2833,21.0872,29.7895
17.5,16.1961,19.3544,34.4942
17.52,16.4916,16.1913,38.4084
17.54,16.0593,12.0543,40.9207
17.56,14.9204,7.6664,41.7786
17.58,13.2251,3.7205,41.1622
17.6,11.1989,0.6378,39.5308
17.62,9.0718,-1.4846,37.3845
17.64,7.0265,-2.7736,35.1039
17.66,5.1794,-3.4466,32.9095
17.68,3.5857,-3.7187,30.895
17.7,2.2552,-3.7619,29.079
17.72,1.1695,-3.6986,27.4458
17.74,0.2955,-3.609,25.9695
17.76,-0.4054,-3.5428,24.6256
17.78,-0.9719,-3.5292,23.3949
17.8,-1.4395,-3.5846,22.2639
17.82,-1.8397,-3.7183,21.2245
17.84,-2.1993,-3.936,20.2729
17.86,-2.5414,-4.2421,19.4088
17.88,-2.8856,-4.6414,18.6355
17.9,-3.249,-5.1395,17.9596
17.92,-3.6466,-5.7431,17.3921
17.94,-4.0919,-6.4595,16.9483
17.96,-4.5976,-7.2956,16.6497
17.98,-5.1747,-8.2558,16.5247
18,-5.8328,-9.3389,16.6094
18.02,-6.5788,-10.5339,16.9479
18.04,-7.4146,-11.8135,17.5913
18.06,-8.335,-13.1267,18.5925
18.08,-9.3235,-14.3916,19.9973
18.1,-10.3487,-15.4903,21.8284
18.12,-11.36,-16.2725,24.0637
18.14,-12.2872,-16.574,26.612
18.16,-13.0444,-16.2531,29.2987
18.18,-13.5416,-15.2402,31.8752
18.2,-13.703,-13.5818,34.0623
18.22,-13.4867,-11.4505,35.6207
18.24,-12.8992,-9.1076,36.4183
18.26,-11.9957,-6.8291,36.4586
18.28,-10.8668,-4.8337,35.8594
18.3,-9.6176,-3.2431,34.7972
18.32,-8.3473,-2.0847,33.4509
18.34,-7.1349,-1.3189,31.9663
18.36,-6.0347,-0.8733,30.4438
18.38,-5.0768,-0.6684,28.9443
18.4,-4.2724,-0.6335,27.499
18.42,-3.6188,-0.7127,26.1217
18.44,-3.1055,-0.8659,24.8162
18.46,-2.7178,-1.0668,23.5816
18.48,-2.4399,-1.3,22.4159
18.5,-2.2571,-1.5586,21.3168
18.52,-2.1566,-1.8416,20.2824
18.54,-2.1282,-2.1525,19.3121
18.56,-2.1643,-2.4977,18.406
18.58,-2.2605,-2.8865,17.5658
18.6,-2.4145,-3.3297,16.7947
18.62,-2.6271,-3.84,16.0982
18.64,-2.901,-4.4318,15.4844
18.66,-3.2414,-5.1204,14.9655
18.68,-3.6553,-5.9225,14.5587
18.7,-4.1514,-6.8541,14.2878
18.72,-4.7398,-7.9295,14.1853
18.74,-5.4307,-9.1577,14.2944
18.76,-6.2333,-10.5375,14.6705
18.78,-7.1534,-12.0491,15.3814
18.8,-8.1895,-13.6438,16.5039
18.82,-9.3278,-15.2307,18.114
18.84,-10.5359,-16.6654,20.2665
18.86,-11.7555,-17.7483,22.9633
18.88,-12.8988,-18.2431,26.1124
18.9,-13.8517,-17.9289,29.4951
18.92,-14.4881,-16.6807,32.7695
18.94,-14.6979,-14.5488,35.5331
18.96,-14.4187,-11.7836,37.4396
18.98,-13.6597,-8.7739,38.3133
19,-12.5017,-5.919,38.1935
19.02,-11.0747,-3.5111,37.2861
19.04,-9.5235,-1.6829,35.8634
19.06,-7.9766,-0.4283,34.175
19.08,-6.5297,0.3423,32.4025
19.1,-5.2414,0.7484,30.6551
19.12,-4.1381,0.9041,28.9865
19.14,-3.2224,0.9024,27.416
19.16,-2.4823,0.8116,25.9444
19.18,-1.8973,0.6781,24.5652
19.2,-1.4442,0.5311,23.2698
19.22,-1.0997,0.3875,22.0499
19.24,-0.8427,0.2556,20.8986
19.26,-0.6548,0.1382,19.8104
19.28,-0.5209,0.035,18.7805
19.3,-0.4289,-0.0562,17.8052
19.32,-0.3692,-0.1388,16.8812
19.34,-0.3347,-0.2161,16.0057
19.36,-0.3203,-0.2919,15.1761
19.38,-0.3224,-0.3699,14.3899
19.4,-0.3387,-0.4539,13.6452
19.42,-0.3682,-0.5476,12.94
19.44,-0.4106,-0.6552,12.2725
19.46,-0.4664,-0.7813,11.6412
19.48,-0.5371,-0.931,11.045
19.5,-0.6248,-1.1105,10.4829
19.52,-0.7325,-1.3271,9.9545
19.54,-0.8641,-1.5894,9.4602
19.56,-1.0245,-1.9082,9.0009
19.58,-1.2199,-2.2964,8.5793
19.6,-1.4579,-2.7698,8.1997
19.62,-1.7481,-3.3473,7.8692
19.64,-2.1018,-4.0518,7.599
19.66,-2.5331,-4.91,7.4062
19.68,-3.0586,-5.9529,7.3169
19.7,-3.6978,-7.2139,7.3695
19.72,-4.4728,-8.7265,7.6202
19.74,-5.4073,-10.5181,8.1495
19.76,-6.5242,-12.5976,9.0687
19.78,-7.8407,-14.9356,10.5243
19.8,-9.3594,-17.4321,12.6924
19.82,-11.0547,-19.8757,15.7519
19.84,-12.8536,-21.9062,19.8198
19.86,-14.6169,-23.0183,24.8388
19.88,-16.1323,-22.662,30.4462
19.9,-17.1393,-20.4717,35.9215
19.92,-17.398,-16.5404,40.3405
19.94,-16.7816,-11.5192,42.9494
19.96,-15.3406,-6.3768,43.5228
19.98,-13.2867,-1.9617,42.4125
20,-10.9101,1.2978,40.2731
20.02,-8.4847,3.3942,37.7288
20.04,-6.2103,4.5616,35.1966
20.06,-4.2002,5.0954,32.8796
20.08,-2.4965,5.2521,30.8369
20.1,-1.0932,5.2196,29.055
20.12,0.0422,5.1217,27.4955
20.14,0.9543,5.0347,26.1186
20.16,1.6899,5.0028,24.8927
20.18,2.2935,5.0503,23.7958
20.2,2.8048,5.1893,22.8147
20.22,3.2577,5.4257,21.9435
20.24,3.6807,5.762,21.1819
20.26,4.0974,6.1992,20.5348
20.28,4.5272,6.7374,20.0114
20.3,4.9862,7.3757,19.6257
20.32,5.4868,8.1111,19.396
20.34,6.0385,8.9364,19.3453
